store,address,latitude,longitude,Kreis,Kreis Area (km^2),Kreis Population,Kreis Density (population/km^2),Median value of taxable income
migros,"Schaffhauserstrasse 75, 8057",47.3926141,8.5384939,6,5.1,35355,6932,74.13
coop,"Scheffelstrasse 12, 8037",47.3938049,8.5295752,10,9.09,41017,4512,67.68
coop,"Röschibachstrasse 22, 8037",47.393019,8.5249104,10,9.09,41017,4512,67.68
coop,"Regensdorferstrasse 9, 8049",47.4026805,8.4983802,10,9.09,41017,4512,67.68
coop,"Wolfgang-Pauli-Strasse 14, 8049",47.4083915,8.507961,10,9.09,41017,4512,67.68
coop,"Frankentalerstrasse 20, 8049",47.4060321,8.4815884,10,9.09,41017,4512,67.68
coop,"Rütihofstrasse 15, 8049",47.41373489999999,8.479611799999999,10,9.09,41017,4512,67.68
migros,"Regensdorferstrasse 20, 8049",47.403772,8.4974444,10,9.09,41017,4512,67.68
migros,"Scheffelstrasse 3, 8037",47.3937726,8.5292338,10,9.09,41017,4512,67.68
coop,"Seefeldstrasse 199, 8008",47.3532821,8.558858299999999,8,4.81,17818,3704,88.97
coop,"Seefeldstrasse 123, 8008",47.3583766,8.5551051,8,4.81,17818,3704,88.97
coop,"Seefeldstrasse 35, 8008",47.363175,8.549919,8,4.81,17818,3704,88.97
coop,"Forchstrasse 4, 8008",47.3644433,8.554834399999999,8,4.81,17818,3704,88.97
migros,"Seefeldstrasse 111 - 113, 8008",47.358365,8.5541587,8,4.81,17818,3704,88.97
migros,"Forchstrasse 260, 8008",47.357709,8.5710728,8,4.81,17818,3704,88.97
